created,text,retwc,hashtag,followers,friends
,,,,,
02-07-2020 19:59,"b""RT @ws14h6BaaR46GTm: Now it's your turn Mr. Narendra Modi ji to stand for Sushant Singh Rajput and give justice to him.\n#CBIMustForShushant\xe2\x80\xa6""",98,CBIMustForShushant,17,326
,,,,,
02-07-2020 19:59,b'RT @UnSubtleDesi: Kolkata\xe2\x80\x99s Telegraph reports satirical tweet as real to show Modi govt banning TikTok in poor light \n\nThis is hilarious \xe2\x81\xa6@\xe2\x80\xa6',1100,None,51,68
,,,,,
02-07-2020 19:59,"b""RT @Luv_Datta: Only one request to all @INCIndia workers, supporters and volunteers. It's good that @priyankagandhi ji is showing her stren\xe2\x80\xa6""",76,None,190,505
,,,,,
02-07-2020 19:59,b'@NahataSanjeev @narendramodi @KremlinRussia_E This is modi Nd ameet shah',0,None,59,46
,,,,,
02-07-2020 19:59,"b'RT @IndoPac_Info: Modi first set up his Weibo account in 2015 with an eye on Sino-Indian relations &amp; accumulated over 244,000 followers \xe2\x80\x94 m\xe2\x80\xa6'",9,None,72,48
,,,,,
02-07-2020 19:59,b'RT @inquestioner: China captured posts. Modi deleted posts.\n\nTits for twat.',140,None,315,1260
,,,,,
02-07-2020 19:58,b'RT @SpiritOfCongres: Modi without media is nothing. https://t.co/iKu0ssjfXU',157,None,124,1219
,,,,,
02-07-2020 19:58,"b'RT @IndoPac_Info: #Indian PM quits #Chinese social media account, deletes photos with Xi\n\nNarendra Modi removes all Weibo posts following #\xe2\x80\xa6'",37,Indian,72,48
,,,,,
02-07-2020 19:58,"b""RT @ws14h6BaaR46GTm: Now it's your turn Mr. Narendra Modi ji to stand for Sushant Singh Rajput and give justice to him.\n#CBIMustForShushant\xe2\x80\xa6""",98,CBIMustForShushant,7,13
,,,,,
02-07-2020 19:58,b'RT @kapsology: Modi Government Eases Restrictions on Pharma Ingredient Imports From China https://t.co/wBuzX5Jj49',109,None,7354,1172
,,,,,
02-07-2020 19:58,"b""RT @TheAngryLord: I'm told there is a Twitter celeb, who constantly tweets Anti Modi, is secretively Pro Modi and votes for BJP everytime.\xe2\x80\xa6""",44,None,463,1416
,,,,,
02-07-2020 19:58,b'RT @UnSubtleDesi: Kolkata\xe2\x80\x99s Telegraph reports satirical tweet as real to show Modi govt banning TikTok in poor light \n\nThis is hilarious \xe2\x81\xa6@\xe2\x80\xa6',1100,None,522,103
,,,,,
02-07-2020 19:58,"b""@0r5L8KRG5HA9cO6 @RanaAyyub Please dont debate if don't have authentic information bcz I always replied you with fa\xe2\x80\xa6 https://t.co/E31e1GCjHT""",0,None,3436,4497
,,,,,
02-07-2020 19:58,b'@majorgauravarya @proudhindu2400 The world needed a strong leader like Modi to strip Chinese Lies in open and show\xe2\x80\xa6 https://t.co/4MiXDpOPgg',0,None,1290,1456
,,,,,
02-07-2020 19:58,"b'RT @rkhuria: \xf0\x9f\x94\xb9Revenue budget of Defence (excluding Capital Budget &amp; Pensions) is 218,000 cr \n\n\xf0\x9f\x94\xb9Budget for protecting Modi is 486 cr \n\n\xf0\x9f\x94\xb9Enti\xe2\x80\xa6'",4,None,2452,3160
,,,,,
02-07-2020 19:58,b'RT @RavneetBittu: How dare @AnupamPKher use sacred words of Guru Gobind Singh ji to describe the spokesperson of BJP. It spoils the martial\xe2\x80\xa6',2343,None,459,1555
,,,,,
02-07-2020 19:58,b'RT @UnSubtleDesi: Kolkata\xe2\x80\x99s Telegraph reports satirical tweet as real to show Modi govt banning TikTok in poor light \n\nThis is hilarious \xe2\x81\xa6@\xe2\x80\xa6',1100,None,16,197
,,,,,
02-07-2020 19:58,b'@AatishTaseer @narendramodi @sambitswaraj I think @AatishTaseer is suffering from mental biopic in not seeing the g\xe2\x80\xa6 https://t.co/LT6h8tCAdH',0,None,39,169
,,,,,
02-07-2020 19:58,b'@BabuChinnapola1 @ActiveAnxiety @WAANGUN @DayanManzoor Tumne ho toh kiya tabhi toh Modi Amit ko bachane mein poori\xe2\x80\xa6 https://t.co/0r4mcfzpMS',0,None,1284,1369
,,,,,
02-07-2020 19:58,"b""RT @HasibaAmin: Mr Modi, Patra isn't XI. Show the courage to do something. \n@ttindia \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/Rs6Y3Ggl43""",238,None,1235,1834
,,,,,
02-07-2020 19:58,"b'RT @modified_hindu: Home Addresses of \nMr. Narender Modi, \nPanchavati\n7, "" LOK KALYAN MARG ""\nNew Delhi-11\n\nMr. Rahul Gandhi,\n12, "" TUGHLAK\xe2\x80\xa6'",2,None,549,719
,,,,,
02-07-2020 19:58,b'RT @AquarianTruths: Modi was having Weibo Account for all these years.. should we say Chinese snooped on him and his activities using this\xe2\x80\xa6',49,None,1185,174
,,,,,
02-07-2020 19:58,b'RT @JoharArmy: Privatization of railways has directly attacked the right of reservation of Dalits and backward classes. The Modi government\xe2\x80\xa6',93,None,127,143
,,,,,
02-07-2020 19:58,"b'RT @TheOliveKnife: Brilliant observation. Do you understand the impact?\n\nIt means that even when LAC issue will settle, China will continue\xe2\x80\xa6'",31,None,250,307
,,,,,
02-07-2020 19:58,b'RT @AbhishBanerj: Things we learn from Twitter:\n\nGeorge Soros has pledged a billion dollar fund to fight Modi.\n\nYesterday I learned that Ma\xe2\x80\xa6',1483,None,70,379
,,,,,
02-07-2020 19:58,"b""Trump\nModi\nBolsanaro\nJohnson\nPutin\nThese five men don't care about anyone but themselves. Fucking rats!""",0,None,910,1034
,,,,,
02-07-2020 19:58,b'RT @AudaciousQuest: Sambit Patra has been given the job to keep INC supporters and bhakts busy. He is trying to distract INC supporters. Ev\xe2\x80\xa6',154,None,214,455
,,,,,
02-07-2020 19:57,"b'RT @stylistanu: Whenever Modi is questioned for his incompetency &amp; failures, he takes a refuge behind Gandhis. \nSame pattern since 2012.'",3,None,214,455
,,,,,
02-07-2020 19:57,"b'RT @modified_hindu: Home Addresses of \nMr. Narender Modi, \nPanchavati\n7, "" LOK KALYAN MARG ""\nNew Delhi-11\n\nMr. Rahul Gandhi,\n12, "" TUGHLAK\xe2\x80\xa6'",2,None,1951,2188
,,,,,
02-07-2020 19:57,"b'RT @TheOliveKnife: Brilliant observation. Do you understand the impact?\n\nIt means that even when LAC issue will settle, China will continue\xe2\x80\xa6'",31,None,194,386
,,,,,
02-07-2020 19:57,b'RT @redfishstream: Indian student protesters against the Modi-government singing a Bengali version of the famous anti-fascist song Bella Ci\xe2\x80\xa6',668,None,0,27
,,,,,
02-07-2020 19:57,b'RT @UnSubtleDesi: Kolkata\xe2\x80\x99s Telegraph reports satirical tweet as real to show Modi govt banning TikTok in poor light \n\nThis is hilarious \xe2\x81\xa6@\xe2\x80\xa6',1100,None,279,354
,,,,,
02-07-2020 19:57,"b'RT @TheOliveKnife: .@rahulgandhi is furious with Modi ji over ""1 Nation, 1 Ration Card""\n\nhe is asking how 130 Cr people will use one card &amp;\xe2\x80\xa6'",357,None,11,48
,,,,,
02-07-2020 19:57,"b'RT @AnshumanSail: Dear NRI friends, \n\nAfter Donald Trump signed an order to suspend H 1B Visas, Mr. ND Modi chose to be mute on the issue.\xe2\x80\xa6'",336,None,557,817
,,,,,
02-07-2020 19:57,"b""RT @ws14h6BaaR46GTm: Now it's your turn Mr. Narendra Modi ji to stand for Sushant Singh Rajput and give justice to him.\n#CBIMustForShushant\xe2\x80\xa6""",98,CBIMustForShushant,0,13
,,,,,
